Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6),J(pixel 7),J(pixel 8)
V,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2
0,-22.9641,0,0,0,0,0,0,0
0.02,-22.8518,0,0,0,0,0,0,0
0.04,-22.8037,0,0,0,0,0,0,0
0.06,-22.7043,0,0,0,0,0,0,0
0.08,-22.6375,0,0,0,0,0,0,0
0.1,-22.6484,0,0,0,0,0,0,0
0.12,-22.5618,0,0,0,0,0,0,0
0.14,-22.6132,0,0,0,0,0,0,0
0.16,-22.6151,0,0,0,0,0,0,0
0.18,-22.5978,0,0,0,0,0,0,0
0.2,-22.5689,0,0,0,0,0,0,0
0.22,-22.5734,0,0,0,0,0,0,0
0.24,-22.4079,0,0,0,0,0,0,0
0.26,-22.4175,0,0,0,0,0,0,0
0.28,-22.4207,0,0,0,0,0,0,0
0.3,-22.422,0,0,0,0,0,0,0
0.32,-22.5156,0,0,0,0,0,0,0
0.34,-22.4675,0,0,0,0,0,0,0
0.36,-22.4868,0,0,0,0,0,0,0
0.38,-22.4797,0,0,0,0,0,0,0
0.4,-22.4239,0,0,0,0,0,0,0
0.42,-22.4579,0,0,0,0,0,0,0
0.44,-22.4528,0,0,0,0,0,0,0
0.46,-22.4553,0,0,0,0,0,0,0
0.48,-22.4804,0,0,0,0,0,0,0
0.5,-22.5407,0,0,0,0,0,0,0
0.52,-22.4483,0,0,0,0,0,0,0
0.54,-22.3777,0,0,0,0,0,0,0
0.56,-22.3912,0,0,0,0,0,0,0
0.58,-22.2898,0,0,0,0,0,0,0
0.6,-22.0165,0,0,0,0,0,0,0
0.62,-21.7932,0,0,0,0,0,0,0
0.64,-21.3948,0,0,0,0,0,0,0
0.66,-20.8257,0,0,0,0,0,0,0
0.68,-20.1739,0,0,0,0,0,0,0
0.7,-19.343,0,0,0,0,0,0,0
0.72,-18.3678,0,0,0,0,0,0,0
0.74,-17.17,0,0,0,0,0,0,0
0.76,-15.7001,0,0,0,0,0,0,0
0.78,-14.0051,0,0,0,0,0,0,0
0.8,-12.0669,0,0,0,0,0,0,0
0.82,-9.78026,0,0,0,0,0,0,0
0.84,-7.25564,0,0,0,0,0,0,0
0.86,-4.42498,0,0,0,0,0,0,0
0.88,-1.34924,0,0,0,0,0,0,0
0.9,2.01905,0,0,0,0,0,0,0
0.92,5.55801,0,0,0,0,0,0,0
0.94,9.3164,0,0,0,0,0,0,0
0.96,13.2615,0,0,0,0,0,0,0
0.98,17.392,0,0,0,0,0,0,0
1,21.6803,0,0,0,0,0,0,0
1.02,26.1329,0,0,0,0,0,0,0
1.04,30.7696,0,0,0,0,0,0,0
1.06,35.6206,0,0,0,0,0,0,0
1.08,40.6563,0,0,0,0,0,0,0
1.1,45.9045,0,0,0,0,0,0,0
1.12,52.1387,0,0,0,0,0,0,0
1.14,57.1905,0,0,0,0,0,0,0
1.16,62.6754,0,0,0,0,0,0,0
1.18,64.1626,0,0,0,0,0,0,0
1.2,64.1626,0,0,0,0,0,0,0
1.2,64.1626,0,0,0,0,0,0,0
1.18,62.0896,0,0,0,0,0,0,0
1.16,51.5671,0,0,0,0,0,0,0
1.14,42.0479,0,0,0,0,0,0,0
1.12,32.8727,0,0,0,0,0,0,0
1.1,25.3219,0,0,0,0,0,0,0
1.08,16.9705,0,0,0,0,0,0,0
1.06,9.75139,0,0,0,0,0,0,0
1.04,3.38434,0,0,0,0,0,0,0
1.02,-2.08899,0,0,0,0,0,0,0
1,-6.78408,0,0,0,0,0,0,0
0.98,-10.5983,0,0,0,0,0,0,0
0.96,-13.6477,0,0,0,0,0,0,0
0.94,-16.0678,0,0,0,0,0,0,0
0.92,-17.8687,0,0,0,0,0,0,0
0.9,-19.1422,0,0,0,0,0,0,0
0.88,-20.0635,0,0,0,0,0,0,0
0.86,-20.7442,0,0,0,0,0,0,0
0.84,-21.2318,0,0,0,0,0,0,0
0.82,-21.5372,0,0,0,0,0,0,0
0.8,-21.7246,0,0,0,0,0,0,0
0.78,-21.8901,0,0,0,0,0,0,0
0.76,-22.0165,0,0,0,0,0,0,0
0.74,-22.1852,0,0,0,0,0,0,0
0.72,-22.309,0,0,0,0,0,0,0
0.7,-22.4162,0,0,0,0,0,0,0
0.68,-22.4727,0,0,0,0,0,0,0
0.66,-22.5176,0,0,0,0,0,0,0
0.64,-22.6087,0,0,0,0,0,0,0
0.62,-22.6016,0,0,0,0,0,0,0
0.6,-22.5862,0,0,0,0,0,0,0
0.58,-22.5336,0,0,0,0,0,0,0
0.56,-22.6401,0,0,0,0,0,0,0
0.54,-22.6504,0,0,0,0,0,0,0
0.52,-22.6279,0,0,0,0,0,0,0
0.5,-22.5894,0,0,0,0,0,0,0
0.48,-22.6125,0,0,0,0,0,0,0
0.46,-22.7088,0,0,0,0,0,0,0
0.44,-22.6857,0,0,0,0,0,0,0
0.42,-22.6792,0,0,0,0,0,0,0
0.4,-22.7197,0,0,0,0,0,0,0
0.38,-22.6664,0,0,0,0,0,0,0
0.36,-22.7088,0,0,0,0,0,0,0
0.34,-22.7562,0,0,0,0,0,0,0
0.32,-22.7877,0,0,0,0,0,0,0
0.3,-22.8069,0,0,0,0,0,0,0
0.28,-22.7626,0,0,0,0,0,0,0
0.26,-22.7562,0,0,0,0,0,0,0
0.24,-22.7697,0,0,0,0,0,0,0
0.22,-22.78,0,0,0,0,0,0,0
0.2,-22.6318,0,0,0,0,0,0,0
0.18,-22.6754,0,0,0,0,0,0,0
0.16,-22.7139,0,0,0,0,0,0,0
0.14,-22.7902,0,0,0,0,0,0,0
0.12,-22.7999,0,0,0,0,0,0,0
0.1,-22.8031,0,0,0,0,0,0,0
0.08,-22.778,0,0,0,0,0,0,0
0.06,-22.7588,0,0,0,0,0,0,0
0.04,-22.7671,0,0,0,0,0,0,0
0.02,-22.7171,0,0,0,0,0,0,0
0,-22.7331,0,0,0,0,0,0,0


Parameter,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8
Voc (V),0.888011,0,0,0,0,0,0,0
Jsc (mA/cm^2),-22.9641,0,0,0,0,0,0,0
FF (%),67.4025,0,0,0,0,0,0,0
Vmpp (V),0.66,0,0,0,0,0,0,0
Jmpp (mA/cm^2),-20.8257,0,0,0,0,0,0,0
Efficiency (%),13.745,0,0,0,0,0,0,0
Voc (V),1.02763,0,0,0,0,0,0,0
Jsc (mA/cm^2),-22.7331,0,0,0,0,0,0,0
FF (%),76.3657,0,0,0,0,0,0,0
Vmpp (V),0.86,0,0,0,0,0,0,0
Jmpp (mA/cm^2),-20.7442,0,0,0,0,0,0,0
Efficiency (%),17.84,0,0,0,0,0,0,0
