Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6),J(pixel 7),J(pixel 8)
V,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2
0,-20.419,-19.2019,-22.7933,-14.8085,-0.0239425,-21.5802,0,0
0.02,-18.9146,-19.2099,-22.8292,15.4828,-0.0239425,-21.6081,0,0
0.04,-17.494,-19.2139,-22.8132,45.7582,-0.0239425,-21.5962,0,0
0.06,-16.0136,-19.2019,-22.7893,76.0774,-0.0239425,-21.6321,0,0
0.08,-14.5371,-19.1979,-22.7534,106.313,-0.0239425,-21.5762,0,0
0.1,-12.9928,-19.2179,-22.7534,136.708,-0.0239425,-21.5523,0,0
0.12,-11.4246,-19.2019,-22.7215,167.187,-0.0239425,-21.6042,0,0
0.14,-9.80846,-19.17,-22.7215,197.713,-0.0239425,-21.5922,0,0
0.16,-8.06464,-19.1381,-22.6975,228.192,-0.0239425,-21.5762,0,0
0.18,-6.26097,-19.154,-22.6816,258.803,-0.0239425,-21.5204,0,0
0.2,-4.39745,-19.1061,-22.6257,289.521,-0.0239425,-21.5483,0,0
0.22,-2.50998,-19.146,-22.6297,320.235,-0.0239425,-21.6042,0,0
0.24,-0.538707,-19.162,-22.6377,351.093,-0.0239425,-21.5682,0,0
0.26,1.58021,-19.162,-22.6217,381.911,-0.0239425,-21.5124,0,0
0.28,3.73105,-19.15,-22.5938,399.074,-0.0239425,-21.5722,0,0
0.3,6.00958,-19.1381,-22.6177,399.074,-0.0239425,-21.6161,0,0
0.32,8.42378,-19.1022,-22.6457,399.074,-0.0239425,-21.6081,0,0
0.34,10.8659,-19.1061,-22.6377,399.074,-0.0239425,-21.5363,0,0
0.36,13.4916,-19.1301,-22.6297,399.074,-0.0239425,-21.5363,0,0
0.38,16.4725,-19.1421,-22.5898,399.074,-0.0239425,-21.5204,0,0
0.4,19.4892,-19.146,-22.5938,399.074,-0.0239425,-21.5204,0,0
0.42,22.7933,-19.1141,-22.5698,399.074,-0.0239425,-21.5403,0,0
0.44,26.3887,-19.0662,-22.5499,399.074,-0.0239425,-21.5603,0,0
0.46,30.1756,-19.0822,-22.5259,399.074,-0.0239425,-21.5283,0,0
0.48,34.2338,-19.0902,-22.5299,399.074,-0.0239425,-21.5483,0,0
