Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6),J(pixel 7),J(pixel 8)
V,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2
0,-23.7886,-22.9767,-23.3192,-20.7315,-23.4334,-5.45455,-22.5032,-20.8034
0.02,-23.8182,-23.0063,-23.2939,-20.7484,-23.4292,1.38689,-22.4947,-20.8161
0.04,-23.8013,-23.0021,-23.277,-20.7357,-23.4165,8.23256,-22.5201,-20.8203
0.06,-23.7801,-23.019,-23.2812,-20.723,-23.4503,15.0825,-22.5116,-20.7653
0.08,-23.8013,-22.9979,-23.2812,-20.7442,-23.4545,21.9154,-22.5201,-20.7188
0.1,-23.7886,-22.981,-23.2643,-20.7569,-23.4503,28.7738,-22.5032,-20.7611
0.12,-23.7294,-22.9641,-23.2685,-20.7526,-23.4588,35.6152,-22.482,-20.7696
0.14,-23.7209,-22.9683,-23.3108,-20.7315,-23.4249,42.4693,-22.4609,-20.7949
0.16,-23.6913,-22.9345,-23.2896,-20.723,-23.3996,49.3319,-22.4651,-20.7696
0.18,-23.7167,-22.9767,-23.2727,-20.6808,-23.4376,56.1734,-22.4567,-20.7526
0.2,-23.7378,-22.9641,-23.2516,-20.6596,-23.3953,63.0233,-22.4482,-20.7569
0.22,-23.7421,-22.9302,-23.2558,-20.6681,-23.4038,69.8732,-22.444,-20.778
0.24,-23.7082,-22.9641,-23.2347,-20.685,-23.4334,76.7357,-22.4947,-20.778
0.26,-23.7421,-22.9133,-23.2262,-20.6808,-23.4249,83.6068,-22.4863,-20.7822
0.28,-23.704,-22.9429,-23.2431,-20.6892,-23.4292,90.4355,-22.4651,-20.7907
0.3,-23.6364,-22.926,-23.1882,-20.6765,-23.4292,97.2854,-22.4567,-20.8203
0.32,-23.6617,-22.9471,-23.1882,-20.6808,-23.4038,104.148,-22.4355,-20.833
0.34,-23.6533,-22.9302,-23.1966,-20.685,-23.3573,111.011,-22.4313,-20.7865
0.36,-23.7167,-22.9218,-23.1755,-20.7061,-23.4292,117.903,-22.3932,-20.74
0.38,-23.7125,-22.8964,-23.167,-20.7315,-23.3827,124.753,-22.3636,-20.7019
0.4,-23.6702,-22.9387,-23.1459,-20.6723,-23.3573,131.59,-22.3805,-20.7104
0.42,-23.6871,-22.9514,-23.1755,-20.6681,-23.3615,138.474,-22.3679,-20.7188
0.44,-23.6448,-22.926,-23.1374,-20.685,-23.37,145.328,-22.3848,-20.6892
0.46,-23.6321,-22.9133,-23.1797,-20.6723,-23.3319,152.203,-22.4017,-20.6934
0.48,-23.611,-22.9598,-23.1882,-20.685,-23.3362,159.07,-22.4355,-20.7061
0.5,-23.5856,-22.9049,-23.2051,-20.6385,-23.315,165.941,-22.4144,-20.6427
0.52,-23.5264,-22.8964,-23.2051,-20.6047,-23.3066,172.816,-22.4186,-20.63
0.54,-23.4334,-22.9175,-23.1712,-20.6004,-23.2896,179.687,-22.4017,-20.6808
0.56,-23.37,-22.8457,-23.1416,-20.6469,-23.3108,186.617,-22.351,-20.6512
0.58,-23.26,-22.8372,-23.1416,-20.63,-23.3192,193.501,-22.296,-20.6765
0.6,-23.1163,-22.8541,-23.1586,-20.6427,-23.37,200.427,-22.2875,-20.6977
0.62,-22.9556,-22.8499,-23.1586,-20.5708,-23.3319,207.281,-22.2918,-20.6258
0.64,-22.7315,-22.8118,-23.167,-20.5074,-23.3404,214.148,-22.2114,-20.63
0.66,-22.4228,-22.7865,-23.1416,-20.5412,-23.3362,221.011,-22.1691,-20.6427
0.68,-22.0507,-22.7526,-23.1459,-20.4905,-23.3066,227.949,-22.1099,-20.6385
